Rk,Player,Tm,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,Signed Using,Guaranteed
500,Chasson Randle,PHI,"$233,373 ","$1,312,611 ","$1,544,951 ",,,,Cap space,"$233,373 "
501,Nicolas Laprovittola,SAS,"$210,995 ",,,,,,,"$210,995 "
502,Okaro White,MIA,"$210,995 ","$1,312,611 ",,,,,Minimum Salary,"$210,995 "
503,Yogi Ferrell,DAL,"$207,798 ","$1,312,611 ",,,,,Minimum Salary,"$207,798 "
504,Ronnie Price,PHO,"$182,548 ",,,,,,10-day contract,"$182,548 "
505,Reggie Williams,NOP,"$180,483 ",,,,,,,"$180,483 "
506,Jarell Eddie,WAS,"$175,000 ",,,,,,,"$175,000 "
507,Joel Anthony,SAS,"$165,952 ",,,,,,,"$165,952 "
508,Brandon Paul,PHI,"$155,000 ",,,,,,,"$155,000 "
509,Toney Douglas,MEM,"$154,758 ",,,,,,10-day contract,"$154,758 "
510,Robbie Hummel,DEN,"$150,000 ",,,,,,,"$150,000 "
511,Jonathan Gibson,DAL,"$137,466 ",,,,,,,"$137,466 "
512,Marcus Paige,UTA,"$125,000 ",,,,,,,"$125,000 "
513,Quincy Acy,BRK,"$123,642 ",,,,,,,"$123,642 "
514,Ray McCallum,CHO,"$119,494 ",,,,,,10-day contract,"$119,494 "
515,Johnny O'Bryant,DEN,"$115,344 ",,,,,,10-day contract,"$115,344 "
516,Anthony Brown,NOP,"$108,043 ",,,,,,,"$108,043 "
517,Lamar Patterson,ATL,"$102,898 ",,,,,,10-day contract,"$102,898 "
518,Yogi Ferrell,BRK,"$102,300 ",,,,,,,"$102,300 "
519,Toney Douglas,MEM,"$100,593 ",,,,,,,"$100,593 "
520,Patricio Garino,SAS,"$100,000 ",,,,,,,"$100,000 "
521,Isaiah Cousins,SAC,"$100,000 ",,,,,,,"$100,000 "
522,Lamar Patterson,SAC,"$100,000 ",,,,,,,"$100,000 "
523,Chris Wright,OKC,"$100,000 ",,,,,,,"$100,000 "
524,Chasson Randle,NYK,"$100,000 ",,,,,,,"$100,000 "
525,J.P. Tokoto,NYK,"$100,000 ",,,,,,,"$100,000 "
526,Okaro White,MIA,"$100,000 ",,,,,,,"$100,000 "
527,Stefan Jankovic,MIA,"$100,000 ",,,,,,,"$100,000 "
528,Yogi Ferrell,BRK,"$100,000 ",,,,,,,"$100,000 "
529,Egidijus Mockevicius,BRK,"$100,000 ",,,,,,,"$100,000 "
530,Archie Goodwin,NOP,"$95,600 ",,,,,,,"$95,600 "
531,Alonzo Gee,DEN,"$77,379 ",,,,,,,"$77,379 "
532,Henry Sims,UTA,"$75,000 ",,,,,,,"$75,000 "
533,Quincy Ford,UTA,"$75,000 ",,,,,,,"$75,000 "
534,Ryan Arcidiacono,SAS,"$75,000 ",,,,,,,"$75,000 "
535,Kaleb Tarczewski,OKC,"$75,000 ",,,,,,,"$75,000 "
536,Keith Benson,MIA,"$75,000 ",,,,,,,"$75,000 "
537,Mike Tobey,CHO,"$75,000 ",,,,,,,"$75,000 "
538,Lance Stephenson,MIN,"$72,193 ",,,,,,10-day contract,"$72,193 "
539,Gary Neal,ATL,"$72,193 ",,,,,,,"$72,193 "
540,Kyle Collinsworth,DAL,"$70,000 ",,,,,,,"$70,000 "
541,Thomas Walkup,CHI,"$69,500 ",,,,,,,"$69,500 "
542,Derrick Williams,CLE,"$67,007 ",,,,,,10-day contract,"$67,007 "
543,Jordan Farmar,SAC,"$66,384 ",,,,,,,"$66,384 "
544,Shawn Long,PHI,"$65,000 ",,,,,,,"$65,000 "
545,James Webb,PHI,"$65,000 ",,,,,,,"$65,000 "
546,Chasson Randle,PHI,"$63,938 ",,,,,,,"$63,938 "
547,Okaro White,MIA,"$63,938 ",,,,,,10-day contract,"$63,938 "
548,Pierre Jackson,DAL,"$63,938 ",,,,,,,"$63,938 "
549,Mike Tobey,CHO,"$63,938 ",,,,,,10-day contract,"$63,938 "
550,Zach Auguste,LAL,"$60,000 ",,,,,,,"$60,000 "
551,Brady Heslip,TOR,"$56,500 ",,,,,,,"$56,500 "
552,Anthony Brown,ORL,"$51,449 ",,,,,,,"$51,449 "
553,Briante Weber,GSW,"$51,449 ",,,,,,10-day contract,"$51,449 "
554,E.J. Singler,TOR,"$50,000 ",,,,,,,"$50,000 "
555,Yanick Moreira,TOR,"$50,000 ",,,,,,,"$50,000 "
556,Jarrod Uthoff,TOR,"$50,000 ",,,,,,,"$50,000 "
557,Cat Barber,PHI,"$50,000 ",,,,,,,"$50,000 "
558,Dionte Christmas,PHI,"$50,000 ",,,,,,,"$50,000 "
559,Alex Caruso,OKC,"$50,000 ",,,,,,,"$50,000 "
560,Reggie Williams,OKC,"$50,000 ",,,,,,,"$50,000 "
561,Ben Bentil,IND,"$50,000 ",,,,,,,"$50,000 "
562,Julyan Stone,IND,"$50,000 ",,,,,,,"$50,000 "
563,Isaiah Taylor,HOU,"$50,000 ",,,,,,,"$50,000 "
564,Cameron Jones,GSW,"$50,000 ",,,,,,,"$50,000 "
565,Elgin Cook,GSW,"$50,000 ",,,,,,,"$50,000 "
566,Scott Wood,GSW,"$50,000 ",,,,,,,"$50,000 "
567,D.J. Kennedy,DEN,"$50,000 ",,,,,,,"$50,000 "
568,Nate Wolters,DEN,"$50,000 ",,,,,,,"$50,000 "
569,Damion Lee,BOS,"$50,000 ",,,,,,,"$50,000 "
570,Matt Costello,ATL,"$50,000 ",,,,,,,"$50,000 "
571,Beau Beech,BRK,"$45,000 ",,,,,,,"$45,000 "
572,Pierre Jackson,DAL,"$41,560 ",,,,,,,"$41,560 "
573,Alex Poythress,IND,"$35,381 ",,,,,,,"$35,381 "
574,D.J. Stephens,MEM,"$35,000 ",,,,,,,"$35,000 "
575,Phil Pressey,GSW,"$35,000 ",,,,,,,"$35,000 "
576,Marcus Georges-Hunt,MIA,"$31,969 ",,,,,,10-day contract,"$31,969 "
577,Yogi Ferrell,DAL,"$31,969 ",,,,,,,"$31,969 "
578,Matt Costello,MEM,"$31,500 ",,,,,,,"$31,500 "
579,Nikola Jovanovic,DET,"$30,000 ",,,,,,,"$30,000 "
580,Tony Wroten,MEM,"$25,000 ",,,,,,,"$25,000 "
581,Nick Zeisloft,IND,"$25,000 ",,,,,,,"$25,000 "
582,Marcus Georges-Hunt,BOS,"$25,000 ",,,,,,,"$25,000 "
583,Jalen Jones,BOS,"$25,000 ",,,,,,,"$25,000 "
584,Jameel Warney,DAL,"$20,000 ",,,,,,,"$20,000 "
585,Dahntay Jones,CLE,"$18,255 ",,,,,,,"$18,255 "
586,Jordan Farmar,SAC,"$16,595 ",,,,,,,"$16,595 "
587,Ray McCallum,DET,"$11,949 ",,,,,,,"$11,949 "
588,P.J. Hairston,HOU,"$11,534 ",,,,,,,"$11,534 "
