Rk,Player,Tm,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,Signed Using,Guaranteed
26,Nicolas Batum,CHO,"$20,869,566 ","$22,434,783 ","$24,000,000 ","$25,565,217 ","$27,130,434 ",,Cap Space,"$92,869,566 "
27,LaMarcus Aldridge,SAS,"$20,575,005 ","$21,461,010 ","$22,347,015 ",,,,Cap Space,"$42,036,015 "
28,Blake Griffin,LAC,"$20,140,838 ","$21,373,950 ",,,,,Bird Rights,"$41,514,788 "
29,Paul Millsap,ATL,"$20,072,033 ","$21,472,407 ",,,,,Bird Rights,"$20,072,033 "
30,Ryan Anderson,HOU,"$18,735,364 ","$19,578,455 ","$20,421,546 ","$21,264,635 ",,,Cap Space,"$80,000,000 "
31,Allen Crabbe,POR,"$18,500,000 ","$18,500,000 ","$19,332,500 ","$18,500,000 ",,,Cap Space,"$56,332,500 "
32,Paul George,IND,"$18,314,532 ","$19,508,958 ","$20,703,384 ",,,,1st Round Pick,"$37,823,490 "
33,Luol Deng,LAL,"$18,000,000 ","$17,190,000 ","$18,000,000 ","$18,810,000 ",,,Cap Space,"$72,000,000 "
34,Kawhi Leonard,SAS,"$17,638,063 ","$18,868,625 ","$20,099,189 ","$21,329,752 ",,,Bird Rights,"$56,605,877 "
35,Kyrie Irving,CLE,"$17,638,063 ","$18,868,625 ","$20,099,188 ","$21,329,750 ",,,Bird Rights,"$56,605,876 "
36,Jimmy Butler,CHI,"$17,552,209 ","$18,696,918 ","$19,841,624 ","$19,841,624 ",,,Bird Rights,"$56,090,751 "
37,Tobias Harris,DET,"$17,200,000 ","$16,000,000 ","$14,800,000 ",,,,Bird Rights,"$48,000,000 "
38,Enes Kanter,OKC,"$17,145,838 ","$17,884,176 ","$18,622,514 ",,,,Bird Rights,"$35,030,014 "
39,Wesley Matthews,DAL,"$17,100,000 ","$17,900,000 ","$18,600,000 ",,,,Cap Space,"$53,600,000 "
40,Greg Monroe,MIL,"$17,100,000 ","$17,900,000 ",,,,,Cap Space,"$17,100,000 "
41,Evan Fournier,ORL,"$17,000,000 ","$17,000,000 ","$17,000,000 ","$17,000,000 ","$17,000,000 ",,Cap Space,"$85,000,000 "
42,Joakim Noah,NYK,"$17,000,000 ","$17,765,000 ","$18,530,000 ","$19,295,000 ",,,Cap Space,"$72,590,000 "
43,Bismack Biyombo,ORL,"$17,000,000 ","$17,000,000 ","$17,000,000 ","$18,872,365 ",,,Cap Space,"$51,000,000 "
44,John Wall,WAS,"$16,957,900 ","$18,063,850 ","$19,169,800 ",,,,1st Round Pick,"$54,191,550 "
45,DeMarcus Cousins,SAC,"$16,957,900 ","$18,063,850 ",,,,,1st Round Pick,"$35,021,750 "
46,Klay Thompson,GSW,"$16,663,575 ","$17,826,150 ","$18,988,725 ",,,,1st Round Pick,"$53,478,450 "
47,Evan Turner,POR,"$16,393,443 ","$17,131,148 ","$17,868,852 ","$18,606,557 ",,,Cap Space,"$70,000,000 "
48,Gordon Hayward,UTA,"$16,073,140 ","$16,736,710 ",,,,,Bird Rights,"$16,073,140 "
49,Timofey Mozgov,LAL,"$16,000,000 ","$15,280,000 ","$16,000,000 ","$16,720,000 ",,,Cap Space,"$64,000,000 "
50,Ian Mahinmi,WAS,"$15,944,154 ","$16,661,641 ","$15,944,154 ","$15,450,051 ",,,Cap Space,"$64,000,000 "
51,Goran Dragic,MIA,"$15,890,000 ","$17,000,000 ","$18,110,000 ","$19,220,000 ",,,Bird Rights,"$51,000,000 "
52,Kent Bazemore,ATL,"$15,730,338 ","$16,910,113 ","$18,089,887 ","$19,269,662 ",,,Cap Space,"$50,730,338 "
53,Pau Gasol,SAS,"$15,500,000 ","$16,197,500 ",,,,,Cap Space,"$15,500,000 "
54,Draymond Green,GSW,"$15,330,435 ","$16,400,000 ","$17,469,565 ","$18,539,130 ",,,Bird Rights,"$67,739,130 "
55,Tristan Thompson,CLE,"$15,330,435 ","$16,400,000 ","$17,469,565 ","$18,539,130 ",,,Bird Rights,"$67,739,130 "
56,Khris Middleton,MIL,"$15,200,000 ","$14,100,000 ","$13,000,000 ","$13,000,000 ",,,Bird Rights,"$42,300,000 "
57,Danilo Gallinari,DEN,"$15,050,000 ","$16,100,000 ",,,,,,"$15,050,000 "
58,Jeff Green,ORL,"$15,000,000 ",,,,,,Cap Space,"$15,000,000 "
59,Reggie Jackson,DET,"$14,956,522 ","$16,000,000 ","$17,043,478 ","$18,086,956 ",,,Bird Rights,"$66,086,956 "
60,Tony Parker,SAS,"$14,445,313 ","$15,453,126 ",,,,,Bird Rights,"$29,898,439 "
Salary,,,,,,,,,,
Rk,Player,Tm,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,Signed Using,Guaranteed
61,Jonas Valanciunas,TOR,"$14,382,022 ","$15,460,675 ","$16,539,326 ","$17,617,977 ",,,1st Round Pick,"$46,382,023 "
62,DeMarre Carroll,TOR,"$14,200,000 ","$14,800,000 ","$15,400,000 ",,,,Cap Space,"$44,400,000 "
63,Thaddeus Young,IND,"$14,153,652 ","$14,796,348 ","$13,764,045 ",,,,Bird Rights,"$28,950,000 "
64,Eric Bledsoe,PHO,"$14,000,000 ","$14,500,000 ","$15,000,000 ",,,,Bird Rights,"$43,500,000 "
65,Rajon Rondo,CHI,"$14,000,000 ","$13,397,000 ",,,,,Cap Space,"$17,000,000 "
66,Manu Ginobili,SAS,"$14,000,000 ",,,,,,Cap Space,"$14,000,000 "
67,Ricky Rubio,MIN,"$13,550,000 ","$14,250,000 ","$14,800,000 ",,,,1st Round Pick,"$42,600,000 "
68,Rudy Gay,SAC,"$13,333,333 ","$14,263,566 ",,,,,Bird Rights,"$13,333,333 "
69,Jamal Crawford,LAC,"$13,253,012 ","$14,264,988 ","$14,500,000 ",,,,Cap Space,"$30,518,000 "
70,Robin Lopez,CHI,"$13,219,250 ","$13,788,500 ","$14,357,750 ",,,,Cap Space,"$41,365,500 "
71,Michael Kidd-Gilchrist,CHO,"$13,000,000 ","$13,000,000 ","$13,000,000 ","$13,000,000 ",,,1st Round Pick,"$39,000,000 "
72,J.R. Smith,CLE,"$12,800,000 ","$13,760,000 ","$14,720,000 ","$15,680,000 ",,,Bird Rights,"$45,150,000 "
73,Brandon Knight,PHO,"$12,606,250 ","$13,618,750 ","$14,631,250 ","$15,643,750 ",,,,"$56,500,000 "
74,John Henson,MIL,"$12,517,606 ","$11,672,536 ","$10,827,466 ","$9,982,396 ",,,1st Round Pick,"$45,000,004 "
75,Jordan Clarkson,LAL,"$12,500,000 ","$11,562,500 ","$12,500,000 ","$13,437,500 ",,,Cap Space,"$50,000,000 "
76,Miles Plumlee,CHO,"$12,500,000 ","$12,500,000 ","$12,500,000 ","$12,500,000 ",,,Bird Rights,"$50,000,000 "
77,Arron Afflalo,SAC,"$12,500,000 ","$12,500,000 ",,,,,Cap Space,"$14,000,000 "
78,Tyson Chandler,PHO,"$12,415,000 ","$13,000,000 ","$13,585,000 ",,,,Cap Space,"$39,000,000 "
79,Eric Gordon,HOU,"$12,385,364 ","$12,943,020 ","$13,500,375 ","$14,057,730 ",,,Cap Space,"$52,886,489 "
80,Marvin Williams,CHO,"$12,250,000 ","$13,168,750 ","$14,087,500 ","$15,006,250 ",,,Cap Space,"$39,506,250 "
81,Serge Ibaka,ORL,"$12,250,000 ",,,,,,Bird Rights,"$12,250,000 "
82,Stephen Curry,GSW,"$12,112,359 ",,,,,,Bird Rights,"$12,112,359 "
83,Nikola Pekovic,MIN,"$12,100,000 ","$11,600,000 ",,,,,Bird Rights,"$23,700,000 "
84,Kenneth Faried,DEN,"$12,078,652 ","$12,921,348 ","$13,764,045 ",,,,1st Round Pick,"$38,764,045 "
85,Marcin Gortat,WAS,"$12,000,000 ","$12,782,609 ","$13,565,218 ",,,,Bird Rights,"$38,347,827 "
86,Kemba Walker,CHO,"$12,000,000 ","$12,000,000 ","$12,000,000 ",,,,1st Round Pick,"$36,000,000 "
87,Kyle Lowry,TOR,"$12,000,000 ","$12,000,000 ",,,,,Bird Rights,"$12,000,000 "
88,Amir Johnson,BOS,"$12,000,000 ",,,,,,Cap Space,"$12,000,000 "
89,Nikola Vucevic,ORL,"$11,750,000 ","$12,250,000 ","$12,750,000 ",,,,Bird Rights,"$36,750,000 "
90,Jeremy Lin,BRK,"$11,483,254 ","$12,000,000 ","$12,516,746 ",,,,Cap Space,"$23,483,254 "
91,Jrue Holiday,NOP,"$11,286,518 ",,,,,,Bird Rights,"$11,286,518 "
92,Courtney Lee,NYK,"$11,242,000 ","$11,747,890 ","$12,253,780 ","$12,759,670 ",,,Cap Space,"$48,003,340 "
93,Solomon Hill,NOP,"$11,241,218 ","$11,747,073 ","$12,252,928 ","$12,758,781 ",,,Cap Space,"$48,000,000 "
94,Wilson Chandler,DEN,"$11,200,000 ","$12,000,000 ","$12,800,000 ",,,,,"$36,000,000 "
95,Andre Iguodala,GSW,"$11,131,368 ",,,,,,Bird Rights,"$11,131,368 "
96,Derrick Favors,UTA,"$11,050,000 ","$12,000,000 ",,,,,1st Round Pick,"$23,050,000 "
97,Andrew Bogut,DAL,"$11,027,027 ",,,,,,Bird Rights,"$11,027,027 "
98,Austin Rivers,LAC,"$11,000,000 ","$11,825,000 ","$12,650,000 ",,,,Cap Space,"$22,825,000 "
99,Joe Johnson,UTA,"$11,000,000 ","$10,505,000 ",,,,,Cap Space,"$21,505,000 "
100,Jon Leuer,DET,"$10,991,957 ","$10,497,319 ","$10,002,681 ","$9,508,043 ",,,Cap Space,"$41,000,000 "
101,Monta Ellis,IND,"$10,770,000 ","$11,230,000 ","$11,700,000 ",,,,Cap Space,"$22,000,000 "
102,Mirza Teletovic,MIL,"$10,500,000 ","$10,500,000 ","$10,500,000 ",,,,Cap Space,"$31,500,000 "
103,Jared Dudley,PHO,"$10,470,000 ","$10,000,000 ","$9,530,000 ",,,,Cap Space,"$30,000,000 "
104,Zach Randolph,MEM,"$10,361,445 ",,,,,,Bird Rights,"$10,361,445 "
105,Al Jefferson,IND,"$10,230,179 ","$9,769,821 ","$10,000,000 ",,,,Cap Space,"$24,000,000 "
106,Tyreke Evans,NOP,"$10,203,755 ",,,,,,Bird Rights,"$10,203,755 "
107,Alec Burks,UTA,"$10,154,495 ","$10,845,506 ","$11,536,515 ",,,,1st Round Pick,"$32,536,516 "
108,Terrence Ross,TOR,"$10,000,000 ","$10,500,000 ","$10,500,000 ",,,,Rookie scale extension,"$31,000,000 "
109,Danny Green,SAS,"$10,000,000 ","$10,000,000 ","$10,000,000 ",,,,Bird Rights,"$20,000,000 "
110,Omer Asik,NOP,"$9,904,494 ","$10,595,505 ","$11,286,516 ","$11,977,527 ",,,Bird Rights,"$34,786,515 "
111,Iman Shumpert,CLE,"$9,700,000 ","$10,300,000 ","$11,000,000 ",,,,Bird Rights,"$31,000,000 "
112,Matthew Dellavedova,MIL,"$9,607,500 ","$9,607,500 ","$9,607,500 ","$9,607,500 ",,,Cap Space,"$38,430,000 "
113,Jerryd Bayless,PHI,"$9,424,084 ","$9,000,000 ","$8,575,916 ",,,,Cap Space,"$27,000,000 "
114,Trevor Booker,BRK,"$9,250,000 ","$9,125,000 ",,,,,Cap Space,"$18,375,000 "
115,Meyers Leonard,POR,"$9,213,484 ","$9,904,495 ","$10,595,506 ","$11,286,515 ",,,Cap Space,"$41,000,000 "
116,Gerald Henderson,PHI,"$9,000,000 ","$9,000,000 ",,,,,Cap Space,"$10,000,000 "
117,Deron Williams,DAL,"$9,000,000 ",,,,,,Cap Space,"$9,000,000 "
118,Maurice Harkless,POR,"$8,988,764 ","$9,662,921 ","$10,337,079 ","$11,011,236 ",,,Cap Space,"$40,000,000 "
119,Taj Gibson,CHI,"$8,950,000 ",,,,,,Bird Rights,"$8,950,000 "
120,Jeff Teague,IND,"$8,800,000 ",,,,,,Bird Rights,"$8,800,000 "
121,Tiago Splitter,ATL,"$8,550,000 ",,,,,,Bird Rights,"$8,550,000 "
122,Ersan Ilyasova,PHI,"$8,400,000 ",,,,,,Bird Rights,"$8,400,000 "
123,Dwight Powell,DAL,"$8,375,000 ","$9,003,125 ","$9,631,250 ","$10,259,375 ",,,Cap Space,"$27,009,375 "
124,Avery Bradley,BOS,"$8,269,663 ","$8,808,989 ",,,,,Bird Rights,"$17,078,652 "
125,E'Twaun Moore,NOP,"$8,081,363 ","$8,445,024 ","$8,808,685 ","$8,664,928 ",,,Cap Space,"$34,000,000 "
126,Darrell Arthur,DEN,"$8,070,175 ","$7,464,912 ","$7,464,912 ",,,,Cap Space,"$15,535,087 "
127,Kosta Koufos,SAC,"$8,046,500 ","$8,393,000 ","$8,739,500 ",,,,Cap Space,"$16,439,500 "
128,Garrett Temple,SAC,"$8,000,000 ","$8,000,000 ","$8,000,000 ",,,,Cap Space,"$24,000,000 "
129,Anthony Tolliver,SAC,"$8,000,000 ","$8,000,000 ",,,,,Cap Space,"$10,000,000 "
130,George Hill,UTA,"$8,000,000 ",,,,,,Bird Rights,"$8,000,000 "
131,Sergio Rodriguez,PHI,"$8,000,000 ",,,,,,Cap Space,"$8,000,000 "
132,Kevin Garnett,MIN,"$8,000,000 ",,,,,,,"$8,000,000 "
133,Tyler Zeller,BOS,"$8,000,000 ","$8,000,000 ",,,,,Cap Space,"$8,000,000 "
134,Trevor Ariza,HOU,"$7,806,971 ","$7,420,912 ",,,,,Bird Rights,"$15,227,883 "
135,Channing Frye,CLE,"$7,806,971 ","$7,420,912 ",,,,,Cap Space,"$15,227,883 "
136,Jose Calderon,LAL,"$7,708,427 ",,,,,,Cap Space,"$7,708,427 "
137,Al-Farouq Aminu,POR,"$7,680,965 ","$7,319,035 ","$6,957,105 ",,,,Cap Space,"$21,957,105 "
138,Cole Aldrich,MIN,"$7,643,979 ","$7,300,000 ","$6,956,021 ",,,,Cap Space,"$17,000,000 "
139,Corey Brewer,HOU,"$7,600,000 ","$7,600,000 ",,,,,Cap Space,"$15,200,000 "
140,Markieff Morris,WAS,"$7,400,000 ","$8,000,000 ","$8,600,000 ",,,,Bird Rights,"$24,000,000 "
141,Festus Ezeli,POR,"$7,400,000 ","$7,733,000 ",,,,,Cap Space,"$8,400,000 "
142,J.J. Redick,LAC,"$7,377,500 ",,,,,,Bird Rights,"$7,377,500 "
143,Cory Joseph,TOR,"$7,330,000 ","$7,660,000 ","$8,000,000 ",,,,Cap Space,"$14,990,000 "
144,D.J. Augustin,ORL,"$7,250,000 ","$7,250,000 ","$7,250,000 ","$7,250,000 ",,,Cap Space,"$29,000,000 "
145,Boban Marjanovic,DET,"$7,000,000 ","$7,000,000 ","$7,000,000 ",,,,Cap Space,"$21,000,000 "
146,Lou Williams,LAL,"$7,000,000 ","$7,000,000 ",,,,,Cap Space,"$14,000,000 "
147,Boris Diaw,UTA,"$7,000,000 ","$7,500,000 ",,,,,Bird Rights,"$7,000,000 "
148,Rodney Stuckey,IND,"$7,000,000 ","$7,500,000 ",,,,,Cap Space,"$7,000,000 "
149,Ed Davis,POR,"$6,666,667 ","$6,352,531 ",,,,,Cap Space,"$13,019,198 "
150,Isaiah Thomas,BOS,"$6,587,132 ","$6,261,395 ",,,,,,"$12,848,527 "
151,Victor Oladipo,OKC,"$6,552,960 ","$21,000,000 ","$21,000,000 ","$21,000,000 ","$21,000,000 ",,1st Round Pick,"$90,552,960 "
152,Jodie Meeks,ORL,"$6,540,000 ",,,,,,Cap Space,"$6,540,000 "
153,Jeremy Lamb,CHO,"$6,511,628 ","$7,000,000 ","$7,488,372 ",,,,Rookie scale extension,"$21,000,000 "
154,Carl Landry,PHI,"$6,500,000 ",,,,,,,"$6,500,000 "
155,Aron Baynes,DET,"$6,500,000 ","$6,500,000 ",,,,,Cap Space,"$6,500,000 "
156,Spencer Hawes,MIL,"$6,348,759 ","$6,021,175 ",,,,,MLE,"$6,348,759 "
157,Marco Belinelli,CHO,"$6,333,333 ","$6,333,333 ",,,,,Cap Space,"$12,666,666 "
158,Jae Crowder,BOS,"$6,286,408 ","$6,796,117 ","$7,305,825 ","$7,815,533 ",,,Bird Rights,"$28,203,883 "
159,Lance Thomas,NYK,"$6,191,000 ","$6,655,325 ","$7,119,650 ","$7,583,975 ",,,Cap Space,"$19,965,975 "
160,Tarik Black,LAL,"$6,191,000 ","$6,655,325 ",,,,,Cap Space,"$6,191,000 "
161,Matt Barnes,SAC,"$6,125,000 ","$6,400,625 ",,,,,Cap Space,"$6,125,000 "
162,Andrew Nicholson,WAS,"$6,088,993 ","$6,362,998 ","$6,637,002 ","$6,911,007 ",,,Cap Space,"$19,088,993 "
163,Patrick Patterson,TOR,"$6,050,000 ",,,,,,Bird Rights,"$6,050,000 "
164,Andrew Wiggins,MIN,"$6,006,600 ","$7,574,322 ",,,,,1st Round Pick,"$13,580,922 "
165,Ish Smith,DET,"$6,000,000 ","$6,000,000 ","$6,000,000 ",,,,Cap Space,"$18,000,000 "
166,Patrick Beverley,HOU,"$6,000,000 ","$5,500,000 ","$5,000,000 ",,,,Bird Rights,"$11,500,000 "
167,Wayne Ellington,MIA,"$6,000,000 ","$6,270,000 ",,,,,Cap Space,"$6,000,000 "
168,Ramon Sessions,CHO,"$6,000,000 ","$6,270,000 ",,,,,Cap Space,"$6,000,000 "
169,Alex Abrines,OKC,"$5,994,764 ","$5,725,000 ","$5,455,236 ",,,,Cap Space,"$17,175,000 "
170,Karl-Anthony Towns,MIN,"$5,960,160 ","$6,216,840 ","$7,839,435 ",,,,1st round pick,"$12,177,000 "
171,Ben Simmons,PHI,"$5,903,160 ","$6,168,840 ","$6,434,520 ","$8,113,930 ",,,1st Round pick,"$12,072,000 "
172,Otto Porter,WAS,"$5,893,981 ",,,,,,1st Round Pick,"$5,893,981 "
173,Josh McRoberts,MIA,"$5,782,450 ","$6,021,175 ",,,,,MLE,"$5,782,450 "
174,Shaun Livingston,GSW,"$5,782,450 ",,,,,,MLE,"$5,782,450 "
175,Nikola Mirotic,CHI,"$5,782,450 ",,,,,,Cap Space,"$5,782,450 "
176,Brandan Wright,MEM,"$5,700,000 ","$6,000,000 ",,,,,MLE,"$11,700,000 "
177,Tyler Johnson,MIA,"$5,628,000 ","$5,881,260 ","$19,245,370 ","$19,245,370 ",,,Cap Space,"$30,754,630 "
178,Wesley Johnson,LAC,"$5,628,000 ","$5,881,260 ","$6,134,000 ",,,,Cap Space,"$11,509,260 "
179,Jared Sullinger,TOR,"$5,628,000 ",,,,,,Cap Space,"$5,628,000 "
180,Tony Allen,MEM,"$5,505,618 ",,,,,,Bird Rights,"$5,505,618 "
181,Deron Williams,BRK,"$5,500,000 ","$5,500,000 ","$5,500,000 ","$5,500,000 ",,,,"$22,000,000 "
182,Nick Young,LAL,"$5,443,918 ","$5,668,667 ",,,,,Cap Space,"$11,112,585 "
183,Josh Smith,DET,"$5,400,000 ","$5,400,000 ","$5,400,000 ","$5,400,000 ",,,,"$27,000,000 "
184,Jabari Parker,MIL,"$5,374,320 ","$6,782,392 ",,,,,1st Round Pick,"$12,156,712 "
185,D'Angelo Russell,LAL,"$5,332,800 ","$5,562,360 ","$7,019,698 ",,,,1st round pick,"$10,895,160 "
186,Cody Zeller,CHO,"$5,318,313 ","$12,584,270 ","$13,528,090 ","$14,471,910 ","$15,415,730 ",,1st Round Pick,"$61,318,313 "
187,P.J. Tucker,PHO,"$5,300,000 ",,,,,,Cap Space,"$1,500,000 "
188,Brandon Ingram,LAL,"$5,281,680 ","$5,519,400 ","$5,757,120 ","$7,265,485 ",,,1st Round pick,"$10,801,080 "
189,Kyle Korver,CLE,"$5,239,437 ",,,,,,Bird Rights,"$5,239,437 "
190,Darren Collison,SAC,"$5,229,454 ",,,,,,MLE,"$5,229,454 "
191,Langston Galloway,NOP,"$5,200,000 ","$5,430,000 ",,,,,Cap Space,"$5,200,000 "
192,Jason Smith,WAS,"$5,000,000 ","$5,225,000 ","$5,450,000 ",,,,Cap Space,"$10,225,000 "
193,C.J. Watson,ORL,"$5,000,000 ","$5,000,000 ",,,,,Cap Space,"$6,000,000 "
194,Brandon Jennings,NYK,"$5,000,000 ",,,,,,Cap Space,"$5,000,000 "
195,Roy Hibbert,MIL,"$5,000,000 ",,,,,,Cap Space,"$5,000,000 "
196,Luis Scola,BRK,"$5,000,000 ",,,,,,Cap Space,"$5,000,000 "
197,Jonas Jerebko,BOS,"$5,000,000 ",,,,,,Bird Rights,"$5,000,000 "
198,Kyle Singler,OKC,"$4,837,500 ","$4,666,500 ","$4,996,000 ","$5,333,500 ",,,Bird Rights,"$14,500,000 "
199,Mike Dunleavy,ATL,"$4,837,500 ","$5,175,000 ",,,,,Early Bird Rights,"$6,500,000 "
200,Joel Embiid,PHI,"$4,826,160 ","$6,100,266 ",,,,,1st Round Pick,"$10,926,426 "
201,Alex Len,PHO,"$4,823,621 ",,,,,,1st Round Pick,"$4,823,621 "
202,Jahlil Okafor,PHI,"$4,788,840 ","$4,995,120 ","$6,313,832 ",,,,1st round pick,"$9,783,960 "
203,Jaylen Brown,BOS,"$4,743,000 ","$4,956,480 ","$5,169,960 ","$6,534,829 ",,,1st Rd pick,"$9,699,480 "
204,Marcus Morris,DET,"$4,625,000 ","$5,000,000 ","$5,375,000 ",,,,Bird Rights,"$15,000,000 "
205,Alexis Ajinca,NOP,"$4,600,000 ","$4,900,000 ","$5,300,000 ",,,,Early Bird Rights,"$14,800,000 "
206,Derrick Williams,MIA,"$4,598,000 ",,,,,,,"$4,598,000 "
207,C.J. Miles,IND,"$4,583,450 ","$4,772,675 ",,,,,MLE,"$4,583,450 "
208,Jameer Nelson,DEN,"$4,540,525 ","$4,736,050 ",,,,,Cap Space,"$9,276,575 "
209,Nerlens Noel,PHI,"$4,384,490 ",,,,,,1st Round Pick,"$4,384,490 "
210,Aaron Gordon,ORL,"$4,351,320 ","$5,504,420 ",,,,,1st Round Pick,"$9,855,740 "
211,Greivis Vasquez,BRK,"$4,347,826 ",,,,,,,"$4,347,826 "
212,Kristaps Porzingis,NYK,"$4,317,720 ","$4,503,600 ","$5,697,054 ",,,,1st round pick,"$8,821,320 "
213,Dragan Bender,PHO,"$4,276,320 ","$4,468,800 ","$4,661,280 ","$5,896,519 ",,,1st Round pick,"$8,745,120 "
214,Vince Carter,MEM,"$4,264,057 ",,,,,,,"$2,000,000 "
215,Devin Harris,DAL,"$4,228,000 ","$4,403,000 ",,,,,Cap Space,"$8,631,000 "
216,J.J. Barea,DAL,"$4,096,950 ","$3,903,900 ","$3,710,850 ",,,,Cap Space,"$11,711,700 "
217,Ben McLemore,SAC,"$4,008,882 ",,,,,,1st Round Pick,"$4,008,882 "
218,Leandro Barbosa,PHO,"$4,000,000 ","$4,000,000 ",,,,,Cap Space,"$4,500,000 "
219,James Johnson,MIA,"$4,000,000 ",,,,,,Cap Space,"$4,000,000 "
220,Udonis Haslem,MIA,"$4,000,000 ",,,,,,Cap Space,"$4,000,000 "
221,Lavoy Allen,IND,"$4,000,000 ","$4,300,000 ",,,,,,"$4,000,000 "
222,Kris Humphries,ATL,"$4,000,000 ",,,,,,Cap Space,"$4,000,000 "
223,Dante Exum,UTA,"$3,940,320 ","$4,992,385 ",,,,,1st Round Pick,"$8,932,705 "
224,Jordan Hill,MIN,"$3,911,380 ","$4,088,020 ",,,,,Cap Space,"$3,911,380 "
225,Mario Hezonja,ORL,"$3,909,840 ","$4,078,320 ","$5,167,231 ",,,,1st round pick,"$7,988,160 "
226,Kyle O'Quinn,NYK,"$3,900,000 ","$4,100,000 ","$4,250,000 ",,,,Bird Rights,"$8,000,000 "
227,Kris Dunn,MIN,"$3,872,520 ","$4,046,760 ","$4,221,000 ","$5,348,007 ",,,1st Round pick,"$7,919,280 "
228,Thabo Sefolosha,ATL,"$3,850,000 ",,,,,,,"$3,850,000 "
229,Nemanja Bjelica,MIN,"$3,800,000 ","$3,949,999 ",,,,,MLE,"$7,749,999 "
230,Nick Collison,OKC,"$3,750,000 ",,,,,,Bird Rights,"$3,750,000 "
231,Kentavious Caldwell-Pope,DET,"$3,678,319 ",,,,,,1st Round Pick,"$3,678,319 "
232,Quincy Pondexter,NOP,"$3,617,978 ","$3,853,931 ",,,,,1st Round Pick,"$7,471,909 "
233,Patty Mills,SAS,"$3,578,948 ",,,,,,Bird Rights,"$3,578,948 "
234,Marcus Smart,BOS,"$3,578,880 ","$4,538,020 ",,,,,1st Round Pick,"$8,116,900 "
235,Bojan Bogdanovic,BRK,"$3,573,020 ",,,,,,MLE,"$3,573,020 "
